nombre,descripcion,precio,departamento,categoria,clave1,clave2,codigo_sat,disponible,destacado,temporada
DUYA 59 PETALO CH,DUYA 59 PETALO CH,25.0,Decoracion,Duyas,DA59,DA59,48101817,True,False,False
DUYA 66 HOJA CH,DUYA 66 HOJA CH,25.0,Decoracion,Duyas,DA66,DA66,48101817,True,False,False
DUYA 69 HOJA CH,DUYA 69 HOJA CH,25.0,Decoracion,Duyas,DA69,DA69,48101817,True,False,False
DUYA 70 HOJA CH,DUYA 70 HOJA CH,25.0,Decoracion,Duyas,DA70,DA70,48101817,True,False,False
DUYA 72 HOJA CH,DUYA 72 HOJA CH,25.0,Decoracion,Duyas,DA72,DA72,48101817,True,False,False
DUYA 74 HOJA CH,DUYA 74 HOJA CH,25.0,Decoracion,Duyas,DA74,DA74,48101817,True,False,False
DUYA 80 ONDULADA CH,DUYA 80 ONDULADA CH,25.0,Decoracion,Duyas,DA80,DA80,48101817,True,False,False
DUYA 81 ONDULADA CH,DUYA 81 ONDULADA CH,25.0,Decoracion,Duyas,DA81,DA81,48101817,True,False,False
DUYA 82 ESPECIAL CH,DUYA 82 ESPECIAL CH,25.0,Decoracion,Duyas,DA82,DA82,48101817,True,False,False
DUYA 88 ONDULADO CH,DUYA 88 ONDULADO CH,25.0,Decoracion,Duyas,DA88,DA88,48101817,True,False,False
DUYA 103 PETALO CH,DUYA 103 PETALO CH,25.0,Decoracion,Duyas,DA103,DA103,48101817,True,False,False
DUYA 104 PETALO CH,DUYA 104 PETALO CH,25.0,Decoracion,Duyas,DA104,DA104,48101817,True,False,False
DUYA 105 ESPECIAL CH,DUYA 105 ESPECIAL CH,25.0,Decoracion,Duyas,DA105,DA105,48101817,True,False,False
DUYA 106 FLOR CH,DUYA 106 FLOR CH,25.0,Decoracion,Duyas,DA106,DA106,48101817,True,False,False
DUYA 107 FLOR CH,DUYA 107 FLOR CH,25.0,Decoracion,Duyas,DA107,DA107,48101817,True,False,False
DUYA 108  MD,DUYA 108  MD,35.0,Decoracion,Duyas,DA108,DA108,48101817,True,False,False
DUYA 109 FLOR MD,DUYA 109 FLOR MD,35.0,Decoracion,Duyas,DA109,DA109,48101817,True,False,False
DUYA 113 HOJA MD,DUYA 113 HOJA MD,35.0,Decoracion,Duyas,DA113,DA113,48101817,True,False,False
DUYA 115 HOJA MD,DUYA 115 HOJA MD,35.0,Decoracion,Duyas,DA115,DA115,48101817,True,False,False
DUYA 116 PETALO CH,DUYA 116 PETALO CH,25.0,Decoracion,Duyas,DA116,DA116,48101817,True,False,False
DUYA 125 PETALO MD,DUYA 125 PETALO MD,35.0,Decoracion,Duyas,DA125,DA125,48101817,True,False,False
DUYA 129 PETALO MD,DUYA 129 PETALO MD,35.0,Decoracion,Duyas,DA129,DA129,48101817,True,False,False
DUYA 131 ESTR CERR CH,DUYA 131 ESTR CERR CH,25.0,Decoracion,Duyas,DA131,DA131,48101817,True,False,False
DUYA 134 ESPECIAL CH,DUYA 134 ESPECIAL CH,25.0,Decoracion,Duyas,DA134,DA134,48101817,True,False,False
DUYA 136 GD,DUYA 136 GD,45.0,Decoracion,Duyas,DA136,DA136,48101817,True,False,False
DUYA 172 MD,DUYA 172 MD,45.0,Decoracion,Duyas,DA172,DA172,48101817,True,False,False
DUYA 190,DUYA 190,35.0,Decoracion,Duyas,TIP00000045,TIP00000045,48101817,True,False,False
DUYA 191 FLOR CH,DUYA 191 FLOR CH,25.0,Decoracion,Duyas,DA191,DA191,48101817,True,False,False
DUYA 193 FLOR CH,DUYA 193 FLOR CH,25.0,Decoracion,Duyas,DA193,DA193,48101817,True,False,False
DUYA 195 ESPECIAL MD,DUYA 195 ESPECIAL MD,35.0,Decoracion,Duyas,DA195,DA195,48101817,True,False,False
DUYA 199 ESTRELLA ABIERTA CH,DUYA 199 ESTRELLA ABIERTA CH,25.0,Decoracion,Duyas,DA199,DA199,48101817,True,False,False
DUYA 233 ESTRELLA CERRADA MD,DUYA 233 ESTRELLA CERRADA MD,35.0,Decoracion,Duyas,DA233,DA233,48101817,True,False,False
DUYA 270 GLOBO,DUYA 270 GLOBO,62.0,Decoracion,Duyas,DA270,DA270,48101817,True,False,False
DUYA 271 GLOBO,DUYA 271 GLOBO,62.0,Decoracion,Duyas,DA271,DA271,48101817,True,False,False
DUYA 272 GLOBO,DUYA 272 GLOBO,68.0,Decoracion,Duyas,DA272,DA272,48101817,True,False,False
DUYA 273 GLOBO,DUYA 273 GLOBO,68.0,Decoracion,Duyas,DA273,DA273,48101817,True,False,False
DUYA 274 GLOBO,DUYA 274 GLOBO,68.0,Decoracion,Duyas,DA274,DA274,48101817,True,False,False
DUYA 275 GLOBO,DUYA 275 GLOBO,68.0,Decoracion,Duyas,DA275,DA275,48101817,True,False,False
DUYA 353 HOJA MD,DUYA 353 HOJA MD,35.0,Decoracion,Duyas,DA353,DA353,48101817,True,False,False
DUYA 806 REDONDA MD,DUYA 806 REDONDA MD,43.0,Decoracion,Duyas,DA806,DA806,48101817,True,False,False
DUYA 807/1A REDONDA GD,DUYA 807/1A REDONDA GD,40.0,Decoracion,Duyas,DA807,DA807,48101817,True,False,False
DUYA 1M/823 ESTRELLA ABIERTA MD,DUYA 1M/823 ESTRELLA ABIERTA MD,35.0,Decoracion,Duyas,DA823,DA823,48101817,True,False,False
DUYA 825/5ST ESTRELLA ABIERTA MD,DUYA 825/5ST ESTRELLA ABIERTA MD,43.0,Decoracion,Duyas,DA825,DA825,48101817,True,False,False
DUYA 826/6ST ESTRELLA ABIERTA MD,DUYA 826/6ST ESTRELLA ABIERTA MD,40.0,Decoracion,Duyas,DA826,DA826,48101817,True,False,False
DUYA 827/7ST ESTRELLA ABIERTA MD,DUYA 827/7ST ESTRELLA ABIERTA MD,50.0,Decoracion,Duyas,DA827,DA827,48101817,True,False,False
DUYA 828/8ST ESTRELLA ABIERTA MD,DUYA 828/8ST ESTRELLA ABIERTA MD,40.0,Decoracion,Duyas,DA828,DA828,48101817,True,False,False
DUYA 829/9ST ESTRELLA ABIERTA GD,DUYA 829/9ST ESTRELLA ABIERTA GD,40.0,Decoracion,Duyas,DA829,DA829,48101817,True,False,False
DUYA 848/CS ESTRELLA ABIERTA MD,DUYA 848/CS ESTRELLA ABIERTA MD,40.0,Decoracion,Duyas,DA848,DA848,48101817,True,False,False
