clave1 *,clave2,descripción *,departamento,categoria,(s/n) inventariable,unidad,costo,precio1,(s/n) precio con impuestos,(s/n) imp IVA (8%),(s/n) imp IVA (16%),(s/n) granel,existencia,,
4-1944,7501553419446,CAPACILLO STD  +x+x+x+x 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
070896415264,070896415264,CAPACILLO STD DORADO METALICO PAPEL C/24pz,Capacillos,Papel,SI,Pieza,,, $59.00 ,,,,,,52151900
070896415271,070896415271,CAPACILLO STD PLATEADO METALICO PAPEL C/24pz,Capacillos,Papel,SI,Pieza,,, $59.00 ,,,,,,52151900
190353201242,190353201242,CAPACILLO STD PLATATEADO C/1000pz,Capacillos,Papel,SI,Paquete,,, $720.00 ,,,,,,52151900
190353201252,190353201252,CAPACILLO STD DORADO C/1000pz,Capacillos,Papel,SI,Paquete,,, $480.00 ,,,,,,52151900
10066,10066,CAPACILLO CORRUFACIL BLANCO NUM 4 PTE 400pz,Capacillos,Papel,SI,Pieza,,, $55.00 ,,,,,,50181709
4-2310,7501553423108,CAPACILLO STD ROJO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2707,7501553427076,CAPACILLO STD POLKA DOT AZUL CIELO 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
4-2704,7501553427045,CAPACILLO STD POLKA DOT FUCSA 100pz,Capacillos,Papel,SI,Pieza,,, $54.00 ,,,,,,52151907
415-1489 ,070896514899,CAPACILLO STD ROJO-ROSA-BLANCO PLISADO PAPEL C/15,Capacillos,Papel,SI,Pieza,,, $26.00 ,,,,,,52151900
320-1243 ,190353201243,CAPACILLO STD DORADO C/100pz,Capacillos,Papel,SI,Pieza,,, $103.00 ,,,,,,52151900
415-7768 ,070896077684,CAPACILLO STD REMOLINO FIESTA C/75pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151900
415-0-0377 ,070896093684,CAPACILLO STD CARAMELO C/75pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151900
415-0-0381 ,070896093721,CAPACILLO FELICES FIESTAS C/75pz,Capacillos,Papel,SI,Pieza,,, $65.00 ,,,,,,52151900
415-0660 ,070896006608,CAPACILLO STD ROJO ENCAJE BLANCO C/48pz,Capacillos,Papel,SI,Pieza,,, $134.00 ,,,,,,52151900
415-0662 ,070896006622,CAPACILLO STD VERDE ENCAJE BLANCO C/48pz,Capacillos,Papel,SI,Pieza,,, $134.00 ,,,,,,52151900
415-0-0504 ,070896129864,CAPACILLO STD UNICORNIO C/75pz,Capacillos,Papel,SI,Pieza,,, $70.00 ,,,,,,52151600
415-394 ,070896153944,CAPACILLO STD COLORES PASTEL PAPEL C/75pz,Capacillos,Papel,SI,Pieza,,, $64.00 ,,,,,,52151900
